L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,10,0.2,32,32,1,1.0,0.0004092567318565996,0.0,9.804912801571827,1
6,20,0.1,1.0,10,0.3,32,32,1,1.0,0.0018142515295462359,0.0,9.760621230951266,1
6,20,0.1,1.0,10,0.4,32,32,1,1.0,0.005115154222042444,0.0,9.683752452112017,1
6,20,0.1,1.0,10,0.5,32,32,1,1.0,0.01110058148760794,0.0,9.570583504005011,1
6,20,0.1,1.0,10,0.6,32,32,1,1.0,0.020183876411366788,0.0,9.41976299691003,1
6,20,0.1,1.0,10,0.7,32,32,1,1.0,0.0322874646406393,0.0,9.234146563472605,1
6,20,0.1,1.0,10,0.8,32,32,1,1.0,0.04703617973792738,0.0,9.022130270787793,1
6,20,0.1,1.0,10,0.9,32,32,1,1.0,0.06416185843982898,0.0,8.797981834948546,1
6,20,0.1,1.0,10,1.0,32,32,1,1.0,0.08378152095112223,0.0,8.580557956725565,1
6,20,0.1,1.0,10,1.1,32,32,1,1.0,0.10612802779912418,0.0,8.390114416118001,1
6,20,0.1,1.0,10,1.2,32,32,1,1.0,0.13066734593890156,0.0,8.243787700048154,1
6,20,0.1,1.0,10,1.3,32,32,1,1.0,0.1554450046459142,0.0,8.15133631740844,1
6,20,0.1,1.0,10,1.4,32,32,1,1.0,0.17768585822619073,0.0,8.113025422305506,1
6,20,0.1,1.0,10,1.5,32,32,1,1.0,0.19514824882505397,0.0,8.120574779226342,1
6,20,0.1,1.0,10,1.6,32,32,1,1.0,0.20712990087253028,0.0,8.160435022736605,1
