case_id,family,n_qubits,depth_or_cycles,seed,angle_regime,chi_max,tdvp_variant,tebd_error,tdvp_error,tdvp_error_over_tebd_error,tdvp_infidelity_over_tebd_infidelity,tdvp_time_over_tebd_time,tdvp_peak_chi_over_tebd_peak_chi,outcome
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,32,unpadded,1.1287899868289708e-15,0.03997476560198393,35413820168871.44,371350855183887.94,1.1703535107030407,0.5,tebd_win
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,32,padded4,1.1287899868289708e-15,1.1140138600782396e-15,0.9869097645061145,0.0,1.4906966092582603,1.0,both_good
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,48,unpadded,1.1287899868289708e-15,0.03997476560198393,35413820168871.44,371350855183887.94,1.1644339491237534,0.5,tebd_win
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,48,padded4,1.1287899868289708e-15,1.1140138600782396e-15,0.9869097645061145,0.0,1.4927713851828275,1.0,both_good
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,64,unpadded,1.1287899868289708e-15,0.03997476560198393,35413820168871.44,371350855183887.94,1.1761926145340997,0.5,tebd_win
periodic_1d_n8_d4_s0_medium,periodic_1d,8,4,0,medium,64,padded4,1.1287899868289708e-15,1.1140138600782396e-15,0.9869097645061145,0.0,1.4964908524056884,1.0,both_good
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,24,unpadded,2.7870914075311417e-15,0.0037235227045260763,1335988728056.983,6756357726824.406,1.1780633612724067,0.5,tebd_win
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,24,padded4,2.7870914075311417e-15,3.1816310395641055e-12,1141.5596312940645,0.0,1.4227632993647974,1.0,both_good
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,48,unpadded,2.7870914075311417e-15,0.0037235227045260763,1335988728056.983,6756357726824.406,1.1813144695930342,0.5,tebd_win
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,48,padded4,2.7870914075311417e-15,3.1816310395641055e-12,1141.5596312940645,0.0,1.4343082329656622,1.0,both_good
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,64,unpadded,2.7870914075311417e-15,0.0037235227045260763,1335988728056.983,6756357726824.406,1.1749715596727377,0.5,tebd_win
periodic_1d_n8_d4_s1_small,periodic_1d,8,4,1,small,64,padded4,2.7870914075311417e-15,3.1816310395641055e-12,1141.5596312940645,0.0,1.4345057993979264,1.0,both_good
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,8,unpadded,1.3410212713761365e-15,0.012367349527416338,9222336581376.627,110382820991215.52,1.1594683520248106,0.5,tebd_win
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,8,padded4,1.3410212713761365e-15,6.740228053684851e-15,5.026190260776495,0.0,1.4735677128250373,1.0,both_good
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,16,unpadded,1.3410212713761365e-15,0.012367349527416338,9222336581376.627,110382820991215.52,1.1651062413034503,0.5,tebd_win
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,16,padded4,1.3410212713761365e-15,6.740228053684851e-15,5.026190260776495,0.0,1.4811254842295232,1.0,both_good
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,24,unpadded,1.3410212713761365e-15,0.012367349527416338,9222336581376.627,110382820991215.52,1.1718959842121088,0.5,tebd_win
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,24,padded4,1.3410212713761365e-15,6.740228053684851e-15,5.026190260776495,0.0,1.4915388308420714,1.0,both_good
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,32,unpadded,1.3410212713761365e-15,0.012367349527416338,9222336581376.627,110382820991215.52,1.1713777929171814,0.5,tebd_win
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,32,padded4,1.3410212713761365e-15,6.740228053684851e-15,5.026190260776495,0.0,1.4912296606875082,1.0,both_good
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,48,unpadded,1.3410212713761365e-15,0.012367349527416338,9222336581376.627,110382820991215.52,1.1731273410663534,0.5,tebd_win
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,48,padded4,1.3410212713761365e-15,6.740228053684851e-15,5.026190260776495,0.0,1.4881921669544844,1.0,both_good
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,64,unpadded,1.3410212713761365e-15,0.012367349527416338,9222336581376.627,110382820991215.52,1.1743261979946533,0.5,tebd_win
periodic_1d_n8_d4_s1_medium,periodic_1d,8,4,1,medium,64,padded4,1.3410212713761365e-15,6.740228053684851e-15,5.026190260776495,0.0,1.4992125574616206,1.0,both_good
periodic_1d_n8_d4_s2_small,periodic_1d,8,4,2,small,8,unpadded,3.627664316841049e-15,0.00529214205351481,1458829040202.6997,74815672739266.25,1.1657586357756218,0.5,tebd_win
periodic_1d_n8_d4_s2_small,periodic_1d,8,4,2,small,8,padded4,3.627664316841049e-15,1.1087796275636436e-12,305.64559747610906,0.0,1.4528506949529203,1.0,both_good
periodic_1d_n8_d4_s2_small,periodic_1d,8,4,2,small,16,unpadded,3.627664316841049e-15,0.00529214205351481,1458829040202.6997,74815672739266.25,1.1640067584020637,0.5,tebd_win
