model,method,chi_max,trotter_step,time,infidelity,fidelity,state_norm,norm_drift,phase_aligned_distance,current_max_bond,peak_max_bond,param_count,memory_bytes,peak_param_count,peak_memory_bytes,step_runtime_s,cumulative_runtime_s,discarded_weight_step,compression_residual_step,tdvp_substeps,variational_init,variational_converged,variational_sweeps,failed,failure_message
ising,tebd_swap,32,4,0.4,0.05986251317518376,0.9401374868248162,0.9666917558454208,0.033308244154579225,0.24654868765854435,32,32,15016,240256,15016,240256,0.19662816589698195,0.7177417147322558,0.3430647018273389,0.0,2,,,,0,
ising,tebd_swap,32,5,0.5,0.1302095386751847,0.8697904613248153,0.9453328332772349,0.05466716672276506,0.36708153311041414,32,32,15016,240256,15016,240256,0.20745385566260666,0.9251955703948624,0.303003794952724,0.0,2,,,,0,
ising,tebd_swap,32,6,0.6000000000000001,0.21331831190381212,0.7866816880961879,0.9249994984571114,0.07500050154288862,0.47549809442038765,32,32,15016,240256,15016,240256,0.20575668680248782,1.1309522571973503,0.26934596498686797,0.0,2,,,,0,
ising,tebd_swap,32,7,0.7000000000000001,0.2901924157399519,0.7098075842600481,0.9004873384114728,0.09951266158852723,0.5612471971504981,32,32,15016,240256,15016,240256,0.2050112930010073,1.3359635501983576,0.2499792979815163,0.0,2,,,,0,
ising,tebd_swap,32,8,0.8,0.3739245249794093,0.6260754750205907,0.8703743470602548,0.12962565293974515,0.6461434626939722,32,32,15016,240256,15016,240256,0.18552109494339675,1.5214846451417543,0.20683978081496845,0.0,2,,,,0,
ising,tebd_swap,32,9,0.9,0.4515155534848796,0.5484844465151204,0.8460442127381653,0.15395578726183468,0.7202813923863467,32,32,15016,240256,15016,240256,0.2841495487955399,1.8056341939372942,0.16680030056671274,0.0,2,,,,0,
ising,tebd_swap,32,10,1.0,0.511321692968047,0.48867830703195303,0.8238277646364129,0.17617223536358706,0.7758153180764741,32,32,15016,240256,15016,240256,0.2532692030654289,2.058903397002723,0.14004010874159198,0.0,2,,,,0,
ising,tebd_swap,32,11,1.1,0.5767024663311133,0.4232975336688867,0.8013698714230127,0.19863012857698725,0.8359267932090918,32,32,15016,240256,15016,240256,0.2779432021197863,2.3368465991225094,0.12294160361935033,0.0,2,,,,0,
ising,tebd_swap,32,12,1.2000000000000002,0.6319528160445864,0.36804718395541364,0.782323343257664,0.21767665674233605,0.8869397674011742,32,32,15016,240256,15016,240256,0.5101229071151465,2.846969506237656,0.1070110796103907,0.0,2,,,,0,
ising,tebd_swap,32,13,1.3,0.6638556938953972,0.3361443061046028,0.7624799709182437,0.2375200290817563,0.9167556573849047,32,32,15016,240256,15016,240256,0.2506388592883013,3.097608365525957,0.10514908931101151,0.0,2,,,,0,
