L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,branch_weight_beta,centered,entropy,entropy_std,delta_norm,rank
6,20,0.1,1.0,5,0.25,32,32,1,1.0,0,0.00011527068077732797,0.0,17.16139452424455,32
6,20,0.1,1.0,5,0.30000000000000004,32,32,1,1.0,0,0.00023331932938275014,0.0,17.074827519551683,32
6,20,0.1,1.0,5,0.35000000000000003,32,32,1,1.0,0,0.000422417583614305,0.0,16.972057013524527,32
6,20,0.1,1.0,5,0.4,32,32,1,1.0,0,0.0007027089621952697,0.0,16.851482023424435,32
6,20,0.1,1.0,5,0.45,32,32,1,1.0,0,0.0010928864353547214,0.0,16.71189283983984,32
6,20,0.1,1.0,5,0.5,32,32,1,1.0,0,0.0016082375788994871,0.0,16.552608295464765,32
6,20,0.1,1.0,5,0.55,32,32,1,1.0,0,0.002259134912009712,0.0,16.373583741783374,32
6,20,0.1,1.0,5,0.6000000000000001,32,32,1,1.0,0,0.003050358859952105,0.0,16.175487551184506,32
6,20,0.1,1.0,5,0.65,32,32,1,1.0,0,0.003981552656954186,0.0,15.95974555538003,32
6,20,0.1,1.0,5,0.7000000000000001,32,32,1,1.0,0,0.005048960361919035,0.0,15.728551428900225,32
6,20,0.1,1.0,5,0.75,32,32,1,1.0,0,0.006248408026228581,0.0,15.484840988860306,32
6,20,0.1,1.0,5,0.8,32,32,1,1.0,0,0.007579240158516413,0.0,15.232226788686603,32
6,20,0.1,1.0,5,0.8500000000000001,32,32,1,1.0,0,0.009048624445237794,0.0,14.974889355185603,32
6,20,0.1,1.0,5,0.9,32,32,1,1.0,0,0.010675264543915023,0.0,14.717422423634359,32
6,20,0.1,1.0,5,0.9500000000000001,32,32,1,1.0,0,0.012491328885925532,0.0,14.46463453571259,32
6,20,0.1,1.0,5,1.0,32,32,1,1.0,0,0.014541236678873226,0.0,14.221313368188056,32
6,20,0.1,1.0,5,1.05,32,32,1,1.0,0,0.016876586254574166,0.0,13.991967981349061,32
6,20,0.1,1.0,5,1.1,32,32,1,1.0,0,0.019547635712995694,0.0,13.78057024422597,32
6,20,0.1,1.0,5,1.1500000000000001,32,32,1,1.0,0,0.022593022499156186,0.0,13.590322793737432,32
6,20,0.1,1.0,5,1.2000000000000002,32,32,1,1.0,0,0.026030015665439443,0.0,13.42348214626078,32
6,20,0.1,1.0,5,1.25,32,32,1,1.0,0,0.029847457595691414,0.0,13.281260115444294,32
6,20,0.1,1.0,5,1.3,32,32,1,1.0,0,0.03400301857702136,0.0,13.163818217253004,32
6,20,0.1,1.0,5,1.35,32,32,1,1.0,0,0.03842546513490784,0.0,13.070353809388358,32
6,20,0.1,1.0,5,1.4000000000000001,32,32,1,1.0,0,0.04302143036755607,0.0,12.999263641506447,32
6,20,0.1,1.0,5,1.4500000000000002,32,32,1,1.0,0,0.04768508733037759,0.0,12.948357932885225,32
6,20,0.1,1.0,5,1.5,32,32,1,1.0,0,0.052308727145431194,0.0,12.915092171965194,32
6,20,0.1,1.0,5,1.55,32,32,1,1.0,0,0.05679241814311166,0.0,12.896786391447144,32
6,20,0.1,1.0,5,1.6,32,32,1,1.0,0,0.06105151785897291,0.0,12.890806170721337,32
6,20,0.1,1.0,5,1.6500000000000001,32,32,1,1.0,0,0.06502146705148543,0.0,12.89469232703765,32
6,20,0.1,1.0,5,1.7000000000000002,32,32,1,1.0,0,0.06865991325285277,0.0,12.906235483328944,32
6,20,0.1,1.0,5,1.75,32,32,1,1.0,0,0.07194645750147516,0.0,12.923501293857774,32
6,20,0.1,1.0,5,1.8,32,32,1,1.0,0,0.07488059271521315,0.0,12.944818672480995,32
6,20,0.1,1.0,5,1.85,32,32,1,1.0,0,0.07747834145899976,0.0,12.968745043987461,32
6,20,0.1,1.0,5,1.9000000000000001,32,32,1,1.0,0,0.07976808277893528,0.0,12.994022805574735,32
6,20,0.1,1.0,5,1.9500000000000002,32,32,1,1.0,0,0.08178605226434345,0.0,13.01953841946704,32
6,20,0.1,1.0,5,2.0,32,32,1,1.0,0,0.08357188907031811,0.0,13.04429087101327,32
6,20,0.1,1.0,6,0.0,32,32,1,1.0,0,2.141404136484463e-27,0.0,17.981709291966737,1
6,20,0.1,1.0,6,0.05,32,32,1,1.0,0,4.1782729463539336e-07,0.0,17.98710492096071,32
6,20,0.1,1.0,6,0.1,32,32,1,1.0,0,5.805505892430869e-06,0.0,17.981621909174557,32
6,20,0.1,1.0,6,0.15000000000000002,32,32,1,1.0,0,2.705713432281722e-05,0.0,17.96406739694217,32
6,20,0.1,1.0,6,0.2,32,32,1,1.0,0,8.077492552426645e-05,0.0,17.932803657870387,32
6,20,0.1,1.0,6,0.25,32,32,1,1.0,0,0.00018867011521971625,0.0,17.88593048694261,32
6,20,0.1,1.0,6,0.30000000000000004,32,32,1,1.0,0,0.0003763638880476984,0.0,17.82149306520283,32
6,20,0.1,1.0,6,0.35000000000000003,32,32,1,1.0,0,0.000671330474766517,0.0,17.737694158173333,32
