panel,method,theta,median,min,max,median_display,min_display,max_display,sequence,gate_count,chi_max,x_median,x_min,x_max,y_median,y_min,y_max,y_median_display,y_min_display,y_max_display
b,tebd_swap,,0.4326886758708942,0.39948347093667136,0.45078828942254767,0.4326886758708942,0.39948347093667136,0.45078828942254767,commuting,30,,,,,,,,,,
b,tebd_swap,,0.4368714356947637,0.4049633766923435,0.4551990195033203,0.4368714356947637,0.4049633766923435,0.4551990195033203,commuting,31,,,,,,,,,,
b,tebd_swap,,0.4432493561498567,0.40823384492904935,0.46361602142964076,0.4432493561498567,0.40823384492904935,0.46361602142964076,commuting,32,,,,,,,,,,
b,tebd_swap,,0.4512389383388159,0.4164493669264131,0.4730775831476314,0.4512389383388159,0.4164493669264131,0.4730775831476314,commuting,33,,,,,,,,,,
b,tebd_swap,,0.4560838485425015,0.42237326399691166,0.47682068605050076,0.4560838485425015,0.42237326399691166,0.47682068605050076,commuting,34,,,,,,,,,,
b,tebd_swap,,0.46286617601714897,0.42709361682152736,0.4850839190739441,0.46286617601714897,0.42709361682152736,0.4850839190739441,commuting,35,,,,,,,,,,
b,tebd_swap,,0.47076229889362864,0.43573517585472965,0.49352713139625126,0.47076229889362864,0.43573517585472965,0.49352713139625126,commuting,36,,,,,,,,,,
b,mpo_zipup,,0.0,0.0,6.661338147750939e-15,1e-14,1e-14,1e-14,commuting,1,,,,,,,,,,
b,mpo_zipup,,0.0,0.0,5.329070518200751e-15,1e-14,1e-14,1e-14,commuting,2,,,,,,,,,,
b,mpo_zipup,,0.24215124261520715,0.19544213541240485,0.25624624212170977,0.24215124261520715,0.19544213541240485,0.25624624212170977,commuting,3,,,,,,,,,,
b,mpo_zipup,,0.24634142314837038,0.19862039072226,0.260592380514295,0.24634142314837038,0.19862039072226,0.260592380514295,commuting,4,,,,,,,,,,
b,mpo_zipup,,0.24634142314837315,0.19862039072225923,0.2605923805142971,0.24634142314837315,0.19862039072225923,0.2605923805142971,commuting,5,,,,,,,,,,
b,mpo_zipup,,0.25221842208047496,0.2040695540091687,0.2626839227838269,0.25221842208047496,0.2040695540091687,0.2626839227838269,commuting,6,,,,,,,,,,
b,mpo_zipup,,0.2561913637122841,0.20725810860834426,0.2658361000963064,0.2561913637122841,0.20725810860834426,0.2658361000963064,commuting,7,,,,,,,,,,
b,mpo_zipup,,0.2561913637122848,0.20725810860834726,0.26583610009630776,0.2561913637122848,0.20725810860834726,0.26583610009630776,commuting,8,,,,,,,,,,
b,mpo_zipup,,0.261425406105503,0.21311963420197955,0.268342781838527,0.261425406105503,0.21311963420197955,0.268342781838527,commuting,9,,,,,,,,,,
b,mpo_zipup,,0.26534728521477113,0.21627287809019757,0.271433370657009,0.26534728521477113,0.21627287809019757,0.271433370657009,commuting,10,,,,,,,,,,
b,mpo_zipup,,0.26534728521477247,0.21627287809019835,0.2714333706570081,0.26534728521477247,0.21627287809019835,0.2714333706570081,commuting,11,,,,,,,,,,
b,mpo_zipup,,0.270389167123646,0.22194434592443535,0.27416380498451176,0.270389167123646,0.22194434592443535,0.27416380498451176,commuting,12,,,,,,,,,,
b,mpo_zipup,,0.27439449833005203,0.22504941199770334,0.27708271698162523,0.27439449833005203,0.22504941199770334,0.27708271698162523,commuting,13,,,,,,,,,,
